;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2475496,285796101;2,449964761734009;2429512,900698685;2,498727321624756;1,0194066595751994
std;34841,99868089253;0,03365521505475044;38651,79346150688;0,03790934383869171;0,03501122597557195
min;832232,9565776293;0,8493754863739014;972068,1394137398;1,018034815788269;0,3423145966772419
25%;2470543,1904030824;2,4458991289138794;2423396,2414443665;2,4951155185699463;1,0176070467108282
50%;2476886,8119884063;2,4513086080551147;2430971,125518736;2,5001015663146973;1,0188631591020068
75%;2483313,5486719017;2,4567089676856995;2438476,232717666;2,5052764415740967;1,0201599728205013
max;2513769,9409058364;2,4868788719177246;2473545,2152863415;2,5313658714294434;2,55563315071806
