;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;1930654,2233624654;2,235748529434204;1922265,704169687;2,2521326541900635;1,0045910369886444
std;38622,13906068464;0,04384654387831688;22131,960449592723;0,025425806641578674;0,02952196598237529
min;413975,9688023998;0,518970787525177;711902,2005551008;0,8665744066238403;0,21586339022254727
25%;1928023,9447773697;2,23245370388031;1918645,2542718425;2,2477793097496033;1,0043439613207321
50%;1932380,4668020832;2,237757921218872;1923020,1531822556;2,252912402153015;1,0048636280097196
75%;1936635,21765198;2,242952823638916;1927340,441640627;2,2582406997680664;1,0053954767715072
max;1959090,8326023056;2,264866352081299;1949455,3695832195;2,2808971405029297;2,7151383488825624
