;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2708055,5752460924;2,486551284790039;2477042,6485457774;2,5180680751800537;1,0941481934473016
std;42447,90262444273;0,03768828138709068;62757,94866302492;0,03982991725206375;0,04186777893469762
min;973247,5791181828;0,939926266670227;931438,5443053389;0,9916730523109436;0,3927914833930645
25%;2701988,3459485006;2,4819302558898926;2456123,832676893;2,5125019550323486;1,0804145385553827
50%;2709822,106112102;2,488126516342163;2485371,1528150765;2,5234923362731934;1,0898640931110108
75%;2717522,452517554;2,4942891597747803;2511217,360591982;2,532180428504944;1,1016368071807785
max;2753849,838768302;2,5208680629730225;2606027,0715572634;2,56274676322937;2,802762541594872
CI 95 Lower;2707223,611642461;2,48581260804846;2475812,615354546;2,517287423146841;1,0933276000590546
CI 95 Upper;2708887,538849724;2,487289961531618;2478272,681737009;2,5188487272132662;1,0949687868355487
