;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;2258655.0640344573;2.297086;2016982.6428224677;2.261441;1.1198187907426933
1;2245245.9866070175;2.2783895;2026246.7269452312;2.297691;1.108081240428183
2;2237437.1915991562;2.2778637;1999848.7170425204;2.298584;1.11880322372984
3;2259722.9504030086;2.2812476;2026532.3616923324;2.2838426;1.1150687712265013
4;2252454.9159468794;2.289309;2066342.7263183156;2.3273368;1.0900684031056973
5;2275861.6111880504;2.3008413;2059041.197176206;2.312078;1.1053016395734065
6;2246817.375139807;2.276249;2010248.8672138855;2.310096;1.1176812044440023
7;2240427.56819598;2.2753685;2044121.6669655647;2.302619;1.096034352750551
8;2252262.086984239;2.2739165;1998039.8850225743;2.276349;1.127235799378846
9;2257078.692514582;2.2809055;2061369.257584892;2.320765;1.0949414735907064
10;2251238.716391005;2.290623;2032474.7523057878;2.3192127;1.1076342836913646
11;2253131.5725787836;2.2832546;2056278.5035002332;2.3055146;1.0957326883218708
12;2253705.16105872;2.2957134;2031768.1490096534;2.2827413;1.1092334340201395
13;2266507.340568388;2.2875354;2067237.6022302883;2.3190837;1.0963942113490548
14;2278717.7429179833;2.2804382;2075039.4897515266;2.3078718;1.0981563262638658
15;2249781.669125332;2.2745714;2017400.8083574597;2.303053;1.115188246086346
16;2239024.4684219416;2.2788234;2005020.1163138729;2.3242824;1.1167092291015384
17;2253706.7090892796;2.2732613;2030495.4851523526;2.2520573;1.1099294362233851
18;2251446.357928135;2.2803128;2037561.2235585256;2.3093493;1.1049711448650692
19;2262002.2674697065;2.2847981;2098269.309962635;2.3301694;1.078032384465456
20;2233042.1253278074;2.2754729;1977959.0487044181;2.2859917;1.1289627693710196
21;2250238.812293244;2.2809973;1996030.1865625675;2.296085;1.1273571048384083
22;2235074.0990426624;2.2682254;2001173.8426272653;2.2841766;1.1168815279477762
23;2261218.1673883977;2.2954628;2083654.4535548629;2.3478858;1.0852174474182121
24;2262871.694411015;2.2818735;2061744.9048643333;2.2764242;1.0975517335205522
25;2258232.460684267;2.268488;2022653.1629575896;2.2997859;1.116470436969137
26;2241057.0680439575;2.2817605;1987529.4844028023;2.296598;1.1275591560430778
27;2253342.171895299;2.2919207;2001834.0251686329;2.2797663;1.1256388609467658
28;2247597.9998635296;2.291716;1993299.2383093762;2.278552;1.1275768116832463
29;2267786.0734655554;2.3042045;2046421.6766629803;2.3161;1.108171448400383
30;2273958.723636901;2.2969234;2040019.017275607;2.336099;1.1146752576227033
31;2269402.8644276164;2.3065536;2080665.323561037;2.337296;1.0907101871355058
32;2265487.324124026;2.2833085;2070641.3813076024;2.3104424;1.094099318489124
33;2237180.406900766;2.2977035;1980620.085811184;2.294662;1.1295353525532408
34;2256928.583739841;2.2890167;2014909.0362162914;2.3001614;1.120114378948852
35;2243967.259786485;2.3094785;2008458.2034603246;2.333812;1.1172586294902267
36;2268311.8208344644;2.2821321;2071491.0295280742;2.2868261;1.0950140688522458
37;2271116.2385928836;2.3005202;2082854.2616766556;2.3192713;1.0903865337004812
