;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;4187842,252149511;2,764507532119751;3998265,230406373;2,8189539909362793;1,0478846919636948
std;68388,0291039859;0,043709415942430496;75646,07857272669;0,0365678146481514;0,03191539046191885
min;1252721,421033372;0,8577705025672913;1833049,193673405;1,3006230592727661;0,317918556182744
25%;4179884,296097371;2,761530339717865;3975854,1246503606;2,816966474056244;1,0394992401574834
50%;4190391,715736203;2,7662858963012695;4007779,276309397;2,8213770389556885;1,0453135887461742
75%;4201078,020553645;2,7710444927215576;4034854,5126667134;2,825261354446411;1,052506606885003
max;4248286,383025821;2,7916855812072754;4119881,5629200563;2,8403992652893066;2,2985174179476977
CI 95 Lower;4186501,871409336;2,763650843236412;3996782,5945106307;2,8182372749392424;1,047259161805116
CI 95 Upper;4189182,632889686;2,76536422100309;3999747,866302115;2,8196707069333162;1,0485102221222737
