;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2009449,1898501324;2,2280640602111816;1951032,0928656636;2,26908016204834;1,0301796195677697
std;29748,99562050852;0,03225378319621086;23332,610942401803;0,025492612272500992;0,027133322131018673
min;737875,5968578092;0,8396202921867371;703748,0717402034;0,8482781052589417;0,37667997108575324
25%;2005346,4978213883;2,223633050918579;1945152,9148463514;2,2642310857772827;1,0285144286815187
50%;2010685,6664366946;2,2294631004333496;1951825,0722402781;2,269879698753357;1,0300968771664802
75%;2016103,2191191376;2,235337972640991;1958530,255765466;2,275644063949585;1,0317948532518753
max;2040013,973813282;2,263643980026245;1988778,6870543435;2,2970070838928223;2,8583647466904027
CI 95 Lower;2008866,120250208;2,22743189760387;1950574,7820945396;2,2685805160290804;1,0296478162261926
CI 95 Upper;2010032,2594500568;2,2286962228184932;1951489,4036367876;2,2695798080675993;1,0307114229093468
