;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2728003,7271062173;2,4756317138671875;2507936,7296327557;2,518169641494751;1,0883540634077389
std;42693,690031634804;0,037934400141239166;53484,46081029788;0,03967379778623581;0,035382718274331336
min;911952,6756391579;0,8489122986793518;930991,3457570539;0,985443651676178;0,3630403104758025
25%;2722138,1115634306;2,4710654616355896;2487803,344887581;2,5126721262931824;1,0773975648147198
50%;2729959,9072441105;2,4773030281066895;2514397,0998223377;2,523640513420105;1,0854845028759639
75%;2737579,6520849625;2,4835116863250732;2536802,636048533;2,532337963581085;1,095572242481293
max;2770370,916497668;2,5116007328033447;2618038,3878267207;2,5632894039154053;2,631708256687081
CI 95 Lower;2727166,946157926;2,474888213286668;2506888,4534635483;2,5173920492738273;1,0876605748728108
CI 95 Upper;2728840,5080545084;2,476375214447707;2508985,005801963;2,5189472337156746;1,089047551942667
