;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;1000,0;1000,0;1000,0;1000,0;1000,0
mean;2475491,371896538;2,4555580615997314;2428466,104895579;2,4984023571014404;1,0212029175733408
std;22533,697991869114;0,021650228649377823;56755,14125959904;0,056822795420885086;0,08067730642487855
min;1805860,6083322105;1,8141165971755981;699868,7848274672;0,7681026458740234;0,7470167639066908
25%;2474424,884349149;2,454237937927246;2428565,5212640846;2,499342918395996;1,0182596913861577
50%;2476316,900286086;2,4564456939697266;2430808,32085617;2,501050591468811;1,0186678256962036
75%;2478498,945516458;2,4584197998046875;2433430,804382081;2,5025790333747864;1,0190891768917236
max;2485492,532011694;2,466240882873535;2441338,3955916334;2,5082573890686035;3,5439781099316368
