;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2464371,911007638;2,459963321685791;2421570,713465515;2,4991776943206787;1,0179289763493746
std;42140,751424561735;0,040846630930900574;29135,973482031117;0,028321728110313416;0,02905442917722192
min;696924,1755259879;0,7291209697723389;930353,9229421003;0,9821431636810303;0,287574268542997
25%;2459714,7260556975;2,4562854170799255;2414997,3051900966;2,4951696395874023;1,016612469148521
50%;2466101,4742267122;2,4617210626602173;2422705,7343322393;2,5002392530441284;1,0178906471843756
75%;2472478,389770963;2,4670400619506836;2430126,3621584717;2,505189001560211;1,0192296731485007
max;2504371,164286186;2,489386796951294;2462134,1654713126;2,529121160507202;2,653594029603642
CI 95 Lower;2463545,967456902;2,4591627424306473;2420999,658878722;2,4986225986499173;1,0173595200015875
CI 95 Upper;2465197,8545583743;2,460763900940935;2422141,768052308;2,49973278999144;1,0184984326971618
