;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2233547,691178863;2,296759843826294;1986401,9697220542;2,298036813735962;1,1252431244810424
std;36656,7050517304;0,03654878959059715;53420,0187443824;0,03956116363406181;0,03718772942408205
min;714732,4071329583;0,7835800051689148;1079344,0812944241;1,163173794746399;0,4210199037096372
25%;2228337,614916895;2,291728913784027;1965547,8227517912;2,2892200350761414;1,1088220283880836
50%;2235116,257084286;2,29826283454895;1993608,4842401464;2,304888606071472;1,120627279203807
75%;2241959,67926239;2,304709255695343;2018405,310449162;2,3167999982833862;1,1353664633116776
max;2271827,0967490086;2,341022253036499;2106892,977473413;2,3549375534057617;2,067391959211096
CI 95 Lower;2232829,23296193;2,296043500713533;1985354,9565941298;2,2972614291768694;1,1245142583776622
CI 95 Upper;2234266,149395796;2,297476186939055;1987448,9828499786;2,2988121982950545;1,1259719905844225
