;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;1925131,8445748982;2,2434263229370117;1916584,0389973985;2,2522637844085693;1,0045598553611472
std;29149,520796881163;0,033204223960638046;17350,09847300563;0,020134491845965385;0,01913712533158701
min;594574,0187630377;0,7464492321014404;1079823,6525227933;1,29055917263031;0,31171021295952256
25%;1922056,735498493;2,2394508719444275;1912897,5566314077;2,247738540172577;1,0041565256894995
50%;1926201,9730431773;2,244696855545044;1917263,923681289;2,2530457973480225;1,0046664913911296
75%;1930441,5172143287;2,250000834465027;1921653,5609931885;2,258262515068054;1,0051855506652374
max;1951613,0887821259;2,2777843475341797;1942620,583244105;2,284914970397949;1,7927810466341572
CI 95 Lower;1924560,5244656133;2,242775532106037;1916243,9833160453;2,2518691556564256;1,0041847745969719
CI 95 Upper;1925703,1646841832;2,2440771137679865;1916924,0946787517;2,252658413160713;1,0049349361253226
