;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;3899199,3019942213;2,802760124206543;3898590,1551470314;2,810760259628296;1,000449647633317
std;63822,52584016109;0,04454527050256729;47814,39437801875;0,03334734961390495;0,03068247535476384
min;1181172,913081623;0,8730667233467102;1299226,4772020865;0,9547927975654602;0,30133309761047977
25%;3893796,7851252626;2,801185369491577;3892390,491527572;2,808713436126709;1,000175603878525
50%;3901715,615384577;2,804570198059082;3900262,4657913614;2,8119616508483887;1,00037156187497
75%;3909406,033764142;2,8078997135162354;3907956,765399461;2,815234959125519;1,0005640575481234
max;3950758,0734339873;2,822883129119873;3947965,465395517;2,8296051025390625;3,005691608486873
CI 95 Lower;3897948,40347373;2,8018870529478765;3897653,010237796;2,8101066635860645;0,9998482821667981
CI 95 Upper;3900450,2005147124;2,8036331954652094;3899527,3000562666;2,8114138556705273;1,0010510130998356
