;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2486452,366275954;2,440323829650879;2439680,611399618;2,4991767406463623;1,0194254614370477
std;38449,747802077894;0,03668680042028427;29613,168365261532;0,028666790574789047;0,028148226913835582
min;861213,5099564978;0,8762794733047485;934475,859063277;0,9812753796577454;0,3527175751009313
25%;2481798,579152829;2,4364787936210632;2433239,6527565317;2,495086431503296;1,018190848204784
50%;2488127,3490920216;2,4419373273849487;2440843,0242389077;2,500222682952881;1,0193818153269398
75%;2494477,630058113;2,44735324382782;2448278,3717234386;2,5052818059921265;1,0206307558922312
max;2527281,976019852;2,4718246459960938;2479699,1850060266;2,5296759605407715;2,6614861429082772
CI 95 Lower;2485698,765066887;2,4396047815755613;2439100,2039649775;2,4986148818390657;1,01887376632725
CI 95 Upper;2487205,9674850213;2,4410428777261965;2440261,0188342584;2,499738599453659;1,0199771565468454
