;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;3952845,544198802;2,7857015132904053;3933336,8255474893;2,814239740371704;1,0052486188114271
std;59770,66976899715;0,04061798006296158;49152,41288338713;0,03346008062362671;0,028727937198002314
min;1340889,1327790406;0,9741570353507996;1767793,0517005555;1,2827982902526855;0,3396211183088959
25%;3946096,6707806126;2,783423125743866;3925337,959103606;2,811926305294037;1,0044891794219992
50%;3954921,524055007;2,7872482538223267;3934523,4122045375;2,815295457839966;1,0051008861666777
75%;3963927,5359285735;2,7909932136535645;3944337,5041255564;2,8185479640960693;1,0057470241535142
max;4008934,9021222857;2,811129331588745;3991226,469677019;2,8330307006835938;2,2471218684066203
CI 95 Lower;3951674,0605980116;2,784905415582938;3932373,4559574425;2,813583934842283;1,004685561588845
CI 95 Upper;3954017,027799593;2,7864976109978725;3934300,195137536;2,814895545901125;1,0058116760340092
