;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2255045,866532072;2,2851860523223877;2030577,960283054;2,298208475112915;1,1110199158010023
std;44603,90434254716;0,04432645067572594;42435,765437609385;0,03930218890309334;0,03217501774179601
min;705972,6210287162;0,7586244940757751;1097680,6794986615;1,1989110708236694;0,34588476360686776
25%;2250469,916047579;2,280795693397522;2011932,934875722;2,289717674255371;1,099240944569893
50%;2257356,852025531;2,2872121334075928;2035571,5724351201;2,304782271385193;1,1087151820837648
75%;2263791,124012958;2,2938786149024963;2056092,7553197336;2,316876173019409;1,1200777616463529
max;2290934,0775325643;2,3247456550598145;2130196,6990879853;2,355550765991211;2,0574495914460806
CI 95 Lower;2254171,6460712594;2,2843172698535184;2029746,234563913;2,2974381663652785;1,1103892970412437
CI 95 Upper;2255920,0869928845;2,286054834791257;2031409,686002195;2,2989787838605515;1,111650534560761
