;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2403022,8352312082;2,4735898971557617;2397588,33239836;2,4873011112213135;1,0027202793157857
std;37532,4866576293;0,037462104111909866;35953,635357474304;0,03626345470547676;0,03560101741362527
min;772573,4446876711;0,8444728255271912;870799,9398859127;0,928618848323822;0,3389448244563782
25%;2399301,2699697907;2,470109701156616;2393656,67721631;2,483719289302826;1,0019375155279648
50%;2404511,3981550867;2,4750375747680664;2398868,329403593;2,488577365875244;1,0023210488915053
75%;2409544,2891628896;2,480012059211731;2404123,4792793975;2,4935840368270874;1,00270641930534
max;2438553,6076208153;2,502901315689087;2434656,7141879746;2,5184144973754883;2,7639325415972706
CI 95 Lower;2402287,2120102164;2,472855653407317;2396883,6540942206;2,4865903606425506;1,0020225121963489
CI 95 Upper;2403758,4584522;2,4743241409042063;2398293,0107024997;2,4880118618000764;1,0034180464352225
