;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;1937654,6163479898;2,2300872802734375;1928330,1559232117;2,252265214920044;1,0049324788765719
std;25962,205798150782;0,02950596809387207;17509,246975509155;0,020194383338093758;0,01764135878471759
min;710307,5744494887;0,834700882434845;1088889,863238472;1,2926621437072754;0,36840677661994486
25%;1934297,132726623;2,225899875164032;1924558,8138504406;2,2477051615715027;1,0044763157307237
50%;1938659,146840705;2,231227993965149;1929024,6661515292;2,2530293464660645;1,0049791563445631
75%;1942932,626234259;2,236410140991211;1933460,5572010675;2,258390724658966;1,0054973484876686
max;1963330,6216793384;2,264603614807129;1954150,6615703625;2,2850069999694824;1,7890698702608754
CI 95 Lower;1937145,7664647538;2,229508973925508;1927986,9809885276;2,251869412279717;1,0045867145980079
CI 95 Upper;1938163,4662312258;2,230665586621367;1928673,3308578958;2,2526610175603707;1,005278243155136
