;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2244406,3090654393;2,2911620140075684;2004857,8834281745;2,297072649002075;1,120323646514382
std;32518,2607792413;0,032375890761613846;50511,9404824171;0,04354662075638771;0,04164205860369065
min;736491,8123227339;0,8003032207489014;562705,103500085;0,6791515946388245;0,3666855194005035
25%;2239158,758600966;2,2861751914024353;1984934,2560551516;2,288310468196869;1,1052083567331434
50%;2245783,696641871;2,292482018470764;2011008,1816729784;2,304308772087097;1,1164325824454773
75%;2252494,3861257965;2,2988783717155457;2034533,4934391526;2,3169093132019043;1,1296048890106287
max;2279454,29623656;2,3324105739593506;2119961,6606954485;2,3541946411132812;3,7233368981091246
CI 95 Lower;2243768,9628657675;2,2905274582089667;2003867,867586827;2,2962191509187657;1,1195074771633287
CI 95 Upper;2245043,655265111;2,29179656980617;2005847,8992695222;2,2979261470853847;1,1211398158654353
