;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;4181273,3809495447;2,7682743072509766;3995223,4017604697;2,8190243244171143;1,047135273594429
std;56804,450186820875;0,036204561591148376;77281,89946154183;0,034310292452573776;0,03575634110877737
min;1563850,2389148385;1,074596643447876;1330210,9471927122;0,9584728479385376;0,3918195699247401
25%;4172792,1635923064;2,7647794485092163;3973502,421690209;2,816990613937378;1,0385866354305096
50%;4183399,9891416933;2,769652843475342;4004876,7318187775;2,8213143348693848;1,044211672669387
75%;4193839,9257231425;2,7745494842529297;4031710,2548828768;2,8251278400421143;1,0514526881967017
max;4242221,912768944;2,797210216522217;4135481,1076652315;2,8409125804901123;3,152297820953704
CI 95 Lower;4180160,034184267;2,7675647108830295;3993708,704364455;2,8183518550420534;1,0464344621865078
CI 95 Upper;4182386,7277148226;2,7689839036189237;3996738,0991564845;2,819696793792175;1,0478360850023503
