;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
0;3894852.000285872;2.8147929;3893035.588094258;2.815844;1.0004665799093049
1;3884619.488002649;2.8116093;3883189.180730188;2.811659;1.0003683331421398
2;3876381.2121773353;2.8022797;3873545.6627984815;2.8051836;1.0007320294184439
3;3896959.227106159;2.8097734;3895695.116828656;2.8118386;1.000324489016618
4;3892931.157226886;2.8094144;3889712.397195775;2.8114924;1.0008275059188005
5;3927200.287223602;2.8115633;3924786.485405284;2.8133283;1.0006150148109443
6;3893657.0216139997;2.8054965;3890959.7715943498;2.8063226;1.0006932094336571
7;3880696.4567695223;2.8033519;3878113.642001428;2.8042116;1.0006659977005627
8;3893545.766022944;2.8133614;3892997.9537738273;2.8144715;1.0001407173226449
9;3896976.621896518;2.8054464;3897214.0713461153;2.8050835;0.999939072002397
10;3892453.6658585556;2.813295;3891191.926666407;2.813107;1.0003242551937626
11;3903966.3290670104;2.812356;3902839.060745073;2.8112004;1.0002888328994335
12;3871835.4578976356;2.7998426;3893947.2072694167;2.8198583;0.9943215076643819
13;3897747.5520034586;2.8072321;3896643.053663347;2.809836;1.000283448682597
14;3916145.861823187;2.8072739;3913600.6033801003;2.808922;1.0006503623391945
15;3896540.422608116;2.815302;3894538.261987808;2.814847;1.000514094479402
16;3878821.473529316;2.8134491;3877224.201729275;2.8127232;1.0004119627127388
17;3893587.048678418;2.809615;3891964.0693218643;2.811655;1.000417007795459
18;3888941.8635929697;2.8113587;3887468.7788586738;2.8127859;1.000378931592276
19;3911555.469415052;2.8142211;3910220.6080540186;2.8138497;1.0003413775064978
20;3876184.3120076987;2.8099985;3876454.181141899;2.8142505;0.9999303824780097
21;3887518.027344327;2.801161;3887147.0596052282;2.802196;1.0000954344493302
22;3898021.5376176657;2.8180015;3898293.0516563514;2.8198874;0.9999303505316076
23;3900351.4484368498;2.8100777;3898796.041296758;2.8139207;1.0003989455010256
24;3890181.3914373848;2.8096483;3890546.492087918;2.8114047;0.9999061569753053
25;3917823.139121592;2.811196;3916612.327874032;2.8142672;1.0003091475862809
26;3890090.3646144983;2.8036273;3388887.9217133964;2.4520679;1.1478958450321655
27;3887069.9802820403;2.8044868;3886154.4195098327;2.80573;1.0002355955717073
28;3898875.5852760216;2.8091474;3896438.606300925;2.8100069;1.0006254375395922
29;3914792.624565613;2.814772;3914907.150743433;2.814309;0.9999707461317957
30;3914028.5426196326;2.8181894;3912777.6507127685;2.816566;1.0003196940942034
31;3902616.874259969;2.817096;3900886.813485814;2.8184354;1.0004435044790776
32;3899875.779666652;2.8103824;3898405.705274205;2.8126814;1.0003770963064358
33;3870235.3293857453;2.811363;3868715.883858344;2.8135118;1.000392751903478
34;3902975.4696006477;2.8037148;3901213.3936504303;2.8062224;1.0004516738184805
35;3887087.740844713;2.8121517;3886548.8445902895;2.8102448;1.0001386567558963
36;3890746.038167495;2.8040195;3891324.497216012;2.8043242;0.9998513464891117
37;3905223.212799462;2.814634;3903218.1923117186;2.8171043;1.000513683936935
38;3882155.5042668157;2.8082168;3879589.830593078;2.8094852;1.0006613260127413
39;3907640.8724315697;2.8111124;3907251.3306778343;2.8087802;1.0000996971325282
40;3891530.354379133;2.8070235;3888887.491051947;2.806427;1.0006795936712662
41;3896019.4809353645;2.811634;3894440.2883559326;2.8108413;1.000405499240585
42;3890915.569713309;2.8112168;3888756.4632180533;2.8095648;1.0005552177195145
43;3893987.36384531;2.8059595;3892740.9266679427;2.8084128;1.0003201952559515
44;3874828.2426846656;2.798616;3875766.6443802244;2.8019292;0.9997578797224752
45;3873003.184945787;2.8081;3871576.853098728;2.8102405;1.0003684110896358
46;3913873.485528224;2.8110542;3913525.672306731;2.8116717;1.0000888746492593
47;3904763.6634447244;2.8105285;3903408.413709002;2.8141875;1.0003471964990809
48;3901438.8075612574;2.8122058;3900305.5164330713;2.8133824;1.0002905647066394
49;3894946.862239755;2.8106868;3894822.28105166;2.8123894;1.0000319863601226
50;3891982.157978734;2.8089511;3890845.599036947;2.8103032;1.0002921110367546
51;3916022.0499814795;2.8218567;3916363.366738844;2.8217065;0.9999128485471335
52;3884382.3268945473;2.8116467;3883149.6540916245;2.8120387;1.0003174414876397
53;3903410.2083953377;2.8130405;3903527.3883281136;2.814918;0.9999699810143189
54;3910467.876479199;2.8066397;3910787.3151652655;2.807491;0.9999183185736469
55;3892164.2462531836;2.8090599;3890703.4545045067;2.8108957;1.0003754569747498
56;3901621.7839235626;2.8146758;3900801.053322517;2.8146427;1.0002104005279497
57;3874677.0332593867;2.810445;3873229.685053463;2.810395;1.000373679932153
58;3886445.478054666;2.8137996;3883628.5036643753;2.814751;1.0007253459973406
59;3901105.2066582795;2.8066607;3899952.6587223266;2.8101027;1.0002955286991433
60;3892202.5067026345;2.8103573;3889855.539683502;2.8131945;1.0006033558303615
61;3907095.913756582;2.816562;3903935.5932428534;2.8162613;1.000809521683503
62;3890367.998320184;2.8039818;3889649.8576255203;2.8053422;1.0001846286223568
63;3893094.242344969;2.8066857;3891837.1051969687;2.8073282;1.0003230189532655
64;3906938.1173808784;2.8123016;3905592.5372533426;2.8113878;1.000344526500064
65;3901774.5579667166;2.808968;3900239.1327015287;2.810929;1.0003936746473605
66;3882820.3562249443;2.8115966;3881056.4985465463;2.8105576;1.0004544787428522
67;3909911.7483971235;2.8086007;3909528.2175945747;2.810933;1.000098101556301
68;3897575.5192693383;2.816274;3896563.2551237764;2.814818;1.0002597838349554
69;3892594.6619867277;2.8191862;3890614.6808180213;2.8207216;1.0005089121722766
70;3902304.330463533;2.8094227;3903088.877666871;2.810153;0.9997989932517737
71;3897132.655505577;2.8060265;3896050.192617413;2.804729;1.0002778359709572
72;3904886.2516589095;2.8076704;3902807.6984166154;2.8087595;1.000532578954156
73;3885529.6218494135;2.801053;3885824.9455877487;2.8017454;0.9999239997317247
74;3887505.266241939;2.8123019;3885696.4264403586;2.813366;1.0004655123826123
75;3900442.09217494;2.806911;3899878.9933072436;2.8068066;1.0001443888050534
76;3906355.382668631;2.8138876;3904060.7859654273;2.8149219;1.000587746151764
77;3903672.1591432695;2.8125606;3901122.167112678;2.8114007;1.0006536560305874
78;3920020.3948625936;2.815602;3919257.070144448;2.81657;1.0001947626053826
79;3880806.9034936354;2.8073742;3879753.263494596;2.8100364;1.0002715739706836
80;3890406.589883943;2.8101988;3888523.37121246;2.8135536;1.0004843017494571
81;3895429.5772735;2.8132696;3894140.3586526145;2.8150513;1.000331066295035
82;3896862.053675243;2.819303;3897561.5335541056;2.8226538;0.999820533974168
83;3905786.0172058274;2.8125355;3903996.743745161;2.8138957;1.0004583183793718
84;3892322.1634031394;2.8115425;3890994.0695417672;2.8140085;1.0003413250798217
85;3915162.0150033487;2.8129442;3914015.7354201744;2.8168874;1.0002928653487009
86;3886390.294616397;2.8122933;3885684.4333041846;2.8169374;1.0001816568803588
87;3901574.93816389;2.812085;3901098.6981787863;2.8120973;1.0001220784250668
88;3900710.3746812437;2.8104074;3899369.3038153388;2.8095481;1.0003439199422821
89;3896125.693999978;2.809039;3893851.8070295667;2.809168;1.0005839685440279
90;3899085.357433068;2.8103118;3898801.636571192;2.8124688;1.0000727712995743
91;3893117.920069815;2.8116007;3892687.3833373063;2.8125772;1.0001106014149381
92;3903773.9678971525;2.8112128;3907372.795815904;2.817338;0.9990789647912262
93;3895721.5536602447;2.8055925;3895605.9599819067;2.8049417;1.0000296728364022
94;3890477.183660635;2.8134115;3890392.2293775557;2.815523;1.000021836945498
95;3893511.7766873427;2.8082213;3889309.522354856;2.807633;1.001080462819514
96;3909214.1501528984;2.8047497;3908561.564038917;2.8100152;1.0001669632429449
97;3918969.39623507;2.81816;3916512.114595337;2.8175216;1.000627415814846
98;3900710.8765099947;2.8090348;3898036.856258965;2.8098733;1.0006859915258974
99;3912526.8459762796;2.8067942;3911753.458376776;2.8082547;1.000197708676616
100;3902440.8356668847;2.8119097;3900511.311794127;2.8120263;1.0004946848550147
101;3901142.169109233;2.8052878;3902651.395513519;2.8072321;0.9996132817791461
102;3918073.355835365;2.8112042;3917584.300102112;2.8135993;1.000124836045836
103;3907597.926118763;2.8046746;3906701.2797137406;2.8055382;1.0002295149643712
104;3898992.0083715674;2.8138413;3897847.379919143;2.8155563;1.0002936565598544
105;3912513.271125309;2.8069696;3910483.026274987;2.8108997;1.000519180069746
106;3899010.547256625;2.8045743;3896370.054373021;2.8058927;1.0006776802117756
107;3889394.5330165396;2.8089468;3888054.2941477606;2.8139749;1.0003447068295308
108;3905312.097269933;2.814701;3904922.911232917;2.8183978;1.0000996654853023
109;3876246.3972319085;2.8019333;3875626.1076272554;2.8019667;1.0001600488766016
110;3894166.761267604;2.8126314;3893454.2289140495;2.8145883;1.000183007764227
111;3892208.8380421516;2.8059304;3888949.1725644767;2.8062057;1.0008381867010943
112;3897440.8202370713;2.8054008;3897059.1314233635;2.805146;1.0000979427821943
113;3900115.612381181;2.8114798;3899652.2634804985;2.8121016;1.000118818004626
114;3900350.897934761;2.817843;3898164.733990986;2.8178637;1.0005608187680506
115;3890457.5312815155;2.805338;3889670.2341030403;2.8053086;1.0002024071787814
116;3904891.4322630144;2.8074741;3904294.2517517647;2.8108957;1.0001529547909924
117;3890434.7513161926;2.8091183;3889642.053274186;2.8096313;1.0002037971698037
118;3898851.1106738998;2.8163824;3894981.7576116514;2.8173754;1.0009934200730688
119;3892890.3577343947;2.818239;3892947.644904519;2.8186398;0.9999852843718052
120;3895821.8319893805;2.8157816;3894993.8888563635;2.8160946;1.0002125659645797
121;3904009.4738107934;2.8117301;3901512.5189203545;2.8134367;1.0006399966367736
122;3901433.5294225793;2.8117387;3901471.383659671;2.812327;0.9999902974459199
123;3893129.8825468873;2.807758;3891889.214625722;2.812085;1.0003187829490374
124;3912858.77662021;2.8044865;3911248.424488208;2.8072822;1.0004117233060217
125;3894652.949869001;2.8148427;3893172.368350753;2.817455;1.000380302071977
126;3911063.1862657797;2.8116677;3909340.0097980276;2.8122976;1.000440784496471
127;3895507.458518261;2.8169663;3892708.818546862;2.8176215;1.000718944082862
128;3888343.332655323;2.8126938;3887031.771944445;2.8144882;1.0003374196013382
129;3892440.1233506394;2.802705;3891476.4292298323;2.8030555;1.000247642286503
130;3887438.8844045172;2.814;3887803.3835846237;2.8177302;0.9999062454697052
131;3887199.887345524;2.796075;3884478.26498393;2.7969263;1.0007006403887306
132;3898799.9182316475;2.805943;3898289.078431996;2.806527;1.000131042051878
133;3903453.079890183;2.8122268;3901118.394394403;2.8125145;1.0005984656859261
134;3913246.1777219987;2.811338;3911254.83172045;2.8113503;1.000509132257351
135;3897227.993634176;2.8162405;3897242.2896787515;2.8190196;0.9999963317537087
136;3890626.809072179;2.8136997;3888704.265221179;2.8145173;1.000494391889914
137;3895534.2683495916;2.812385;3892694.944513714;2.813808;1.0007293979816938
138;3882621.1999809463;2.8104784;3882795.689515254;2.81047;0.9999550608509279
139;3890689.723053742;2.8088846;3891180.4455192247;2.8098984;0.9998738885352779
140;3902668.311144713;2.8090265;3901815.262498542;2.8069444;1.0002186286609644
141;3903017.688103921;2.811943;3901474.736369873;2.8139038;1.000395479104264
142;3891838.323684904;2.8075032;3891267.360077172;2.8079207;1.0001467294726623
143;3889622.3371431557;2.8091266;3886825.8605063227;2.8125815;1.0007194756691438
144;3912963.17418117;2.811964;3913231.3868017998;2.813249;0.999931460066089
145;3901023.471346833;2.8079917;3899635.692719352;2.8077996;1.0003558739166512
146;3898509.3265166716;2.814388;3896573.6381006553;2.8129902;1.0004967667997056
147;3911503.797873134;2.8165073;3909193.4945611344;2.8176093;1.0005909923147098
148;3890176.651956863;2.8146093;3890734.320799507;2.8144672;0.9998566674574352
149;3887165.8723455635;2.8050044;3886366.3717846344;2.8087757;1.0002057192977825
150;3888627.333269639;2.7942474;3889800.5083721285;2.7971435;0.999698397102894
151;3913361.954271374;2.804391;3912945.472131687;2.8048623;1.0001064369904087
152;3879539.2226316375;2.8114963;3876813.187216707;2.8142548;1.0007031639863173
153;3907384.5995694567;2.8129945;3906443.249515155;2.8140461;1.0002409736924807
154;3905992.0248778793;2.8139582;3905500.522315046;2.8173587;1.0001258488022278
155;3906162.903864157;2.8098528;3904462.0260160035;2.8104448;1.0004356241235848
156;3893420.468084153;2.8058927;3891762.6030998053;2.8064144;1.0004259933488817
157;3900971.8721605386;2.8043156;3898332.0021854737;2.8077247;1.0006771793612204
158;3911039.571957608;2.8187482;3909003.352207869;2.8186398;1.000520905091726
