;Stoch-Stoch Value;Stoch-Stoch Mean Stopping Time;Stoch-Determ Value;Stoch-Determ Mean Stopping Time;Rel Improvement
count;10000,0;10000,0;10000,0;10000,0;10000,0
mean;2397483,520505775;2,4796061515808105;2393741,7551269135;2,487586259841919;1,0018199968179922
std;51759,02136861919;0,0523797944188118;28118,96059814327;0,028650427237153053;0,03193855160772055
min;705783,0284226062;0,7826287150382996;924360,1328722675;0,9782127737998962;0,2950826699157038
25%;2394841,6035361225;2,477121651172638;2389602,8763104426;2,483778953552246;1,0017736492525844
50%;2400004,106294601;2,4821016788482666;2394773,7668091413;2,4886772632598877;1,0021496780381582
75%;2404994,891336182;2,4869582653045654;2399896,3083886257;2,4935758113861084;1,0025482333739555
max;2431296,789369485;2,5101823806762695;2426404,254620667;2,517834424972534;2,598866237244239
CI 95 Lower;2396469,0623282;2,4785795264750257;2393190,633626363;2,487024721786654;1,001194012709297
CI 95 Upper;2398497,9786833506;2,4806327766865954;2394292,8766274643;2,488147797897184;1,0024459809266872
